Date,CentralBankDemand
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,34.61185781
2010-06-30,179.3185005
2010-09-30,94.53660495
2010-12-31,108.1199691
2011-03-31,92.77965967
2011-06-30,164.4027536
2011-09-30,375.7474281
2011-12-31,171.438536
2012-03-31,192.3688595
2012-06-30,192.8158991
2012-09-30,425.2265071
2012-12-31,536.1099914
2013-03-31,541.1759509
2013-06-30,252.6495587
2013-09-30,397.402142
2013-12-31,667.2057452
2014-03-31,546.0406863
2014-06-30,225.9877698
2014-09-30,357.4425502
2014-12-31,556.3049734
2015-03-31,718.5225062
2015-06-30,643.7750023
2015-09-30,681.0681646
2015-12-31,693.4002793
2016-03-31,572.263444
2016-06-30,508.0173082
2016-09-30,522.6032529
2016-12-31,580.7372173
2017-03-31,89.0060719
2017-06-30,463.9943837
2017-09-30,342.6763079
2017-12-31,375.3743077
2018-03-31,771.1838966
2018-06-30,525.6787178
2018-09-30,840.5882289
2018-12-31,869.0110775
2019-03-31,1148.166147
2019-06-30,950.2647848
2019-09-30,978.7066031
2019-12-31,769.9093529
2020-03-31,827.1170334
2020-06-30,862.5458344
2020-09-30,894.4496781
2020-12-31,489.4632993
2021-03-31,196.9839403
2021-06-30,263.9015674
2021-09-30,421.4273989
2021-12-31,535.0349024
2022-03-31,388.9873114
2022-06-30,827.6245891
2022-09-30,1410.649253
2022-12-31,937.8081606
2023-03-31,1243.113865
2023-06-30,1005.646618
2023-09-30,1186.841399
2023-12-31,1146.717163
2024-03-31,1137.251325
2024-06-30,976.4287159
2024-09-30,1193.773983
2024-12-31,1315.593456
2025-03-31,1298.015635
2025-06-30,1083.757357
2025-09-30,1257.903674
